Date	TestName	StateName	Phase	Step	ModelRule	ActualRule	ActualStatus	ModelSel	ModelAction	ModelInput	ActualSel	ActualAction	ActualInput
02.24.2014-11.43.27	4x+8_6	"state 4"	test	"4x=-2 (divide 4)"	divide-typein	N/A	N/A	dorminTable1_C1R3	UpdateTable	"x"	N/A	N/A	"N/A"
02.24.2014-11.43.27	4x+8_6	"state 5"	test	"4x=-2 (divide 4)"	divide-typein	N/A	N/A	dorminTable2_C1R3	UpdateTable	"-1/2"	N/A	N/A	"N/A"
02.24.2014-11.43.27	4x+8_6	"state 6"	test	"x=-1/2"	-kill-interactive-learning-	N/A	N/A	done	ButtonPressed	"-1"	N/A	N/A	"N/A"
02.24.2014-11.43.27	2x-3_5x+9	"2x-3_5x+9"	test	"2x-3_5x+9"	subtract	N/A	N/A	dorminTable3_C1R1	UpdateTable	"subtract 5x"	N/A	N/A	"N/A"
02.24.2014-11.43.27	2x-3_5x+9	"state 1"	test	"2x-3_5x+9 (subtract 5x)"	subtract-typein	N/A	N/A	dorminTable1_C1R2	UpdateTable	"-3x-3"	N/A	N/A	"N/A"
02.24.2014-11.43.27	2x-3_5x+9	"state 2"	test	"2x-3_5x+9 (subtract 5x)"	subtract-typein	N/A	N/A	dorminTable2_C1R2	UpdateTable	"9"	N/A	N/A	"N/A"
02.24.2014-11.43.27	2x-3_5x+9	"state 3"	test	"-3x-3=9"	add	N/A	N/A	dorminTable3_C1R2	UpdateTable	"add 3"	N/A	N/A	"N/A"
02.24.2014-11.43.27	2x-3_5x+9	"state 4"	test	"-3x-3=9 (add 3)"	add-typein	N/A	N/A	dorminTable1_C1R3	UpdateTable	"-3x"	N/A	N/A	"N/A"
02.24.2014-11.43.27	2x-3_5x+9	"state 5"	test	"-3x-3=9 (add 3)"	add-typein	N/A	N/A	dorminTable2_C1R3	UpdateTable	"12"	N/A	N/A	"N/A"
02.24.2014-11.43.27	2x-3_5x+9	"state 6"	test	"-3x=12"	divide	N/A	N/A	dorminTable3_C1R3	UpdateTable	"divide -3"	N/A	N/A	"N/A"
02.24.2014-11.43.27	2x-3_5x+9	"state 7"	test	"-3x=12 (divide -3)"	divide-typein	N/A	N/A	dorminTable1_C1R4	UpdateTable	"x"	N/A	N/A	"N/A"
02.24.2014-11.43.27	2x-3_5x+9	"state 8"	test	"-3x=12 (divide -3)"	divide-typein	N/A	N/A	dorminTable2_C1R4	UpdateTable	"-4"	N/A	N/A	"N/A"
